Preset,Attack Raw,Attack (ms),Decay Raw,Decay (ms),Release Raw,Release (ms)
B23 Orchestral Pad,0.228346,37.2,0.692913,3993.2,0.409449,825.1
B24 Bright Pluck,0.000000,1.5,0.196850,93.0,0.346457,500.5
B25 Organ Bell,0.000000,1.5,0.000000,1.5,0.204724,104.5
B26 Accordion,0.062992,2.2,0.086614,9.3,0.070866,5.8
B27 FX Rise 1,0.000000,1.5,0.000000,1.5,0.661417,3473.3
B28 FX Rise 2,0.000000,1.5,1.000000,12000.0,0.559055,2098.0
B31 Brass,0.023622,1.5,0.346457,500.5,0.086614,9.3
B32 Helicopter,0.000000,1.5,0.000000,1.5,0.598425,2572.8
B33 Lute,0.000000,1.5,0.377953,649.3,0.685039,3858.7
B34 Chorus Funk,0.000000,1.5,0.086614,9.3,0.000000,1.5
B35 Tomita,0.000000,1.5,0.110236,17.6,0.000000,1.5
B36 FX Sweep 1,0.000000,1.5,0.000000,1.5,0.669291,3598.8
B37 Sharp Reed,0.015748,1.5,0.141732,35.7,0.000000,1.5
B38 Bass Pluck,0.000000,1.5,0.330709,435.5,0.000000,1.5
B41 Resonant Rise,0.000000,1.5,0.409449,825.1,0.000000,1.5
B42 Harpsichord 2,0.000000,1.5,0.354331,535.3,0.000000,1.5
B43 Dark Ensemble,0.165354,15.1,0.000000,1.5,0.275591,252.6
B44 Contact Wah,0.000000,1.5,0.000000,1.5,0.000000,1.5
B45 Noise Sweep 2,1.000000,3000.0,0.622047,2889.5,0.653543,3350.8
B46 Glassy Wah,0.047244,1.8,0.141732,35.7,0.299213,322.9
B47 Phase Ensemble,0.661417,869.1,0.354331,535.3,0.385827,690.6
B48 Chorused Bell,0.000000,1.5,0.488189,1397.5,0.448819,1086.3
B51 Clav,0.000000,1.5,0.338583,467.2,0.000000,1.5
B52 Organ 2,0.000000,1.5,0.000000,1.5,0.000000,1.5
B53 Bassoon,0.039370,1.7,1.000000,12000.0,0.015748,1.5
B54 Auto Release Noise Sweep,0.000000,1.5,0.622047,2889.5,0.653543,3350.8
B55 Brass Ensemble,0.047244,1.8,0.535433,1843.3,0.299213,322.9
B56 Ethereal,0.724409,1141.4,0.393701,733.7,0.433071,976.1
B57 Chorus Bell 2,0.000000,1.5,0.921260,9383.0,0.944882,10123.3
B58 Blizzard,0.614173,696.2,0.771654,5514.6,0.614173,2781.2
B61 E. Piano with Tremolo,0.000000,1.5,0.511811,1610.1,0.771654,5514.6
B62 Clarinet,0.039370,1.7,1.000000,12000.0,0.055118,3.5
B63 Thunder,0.000000,1.5,0.173228,63.9,0.944882,10123.3
B64 Reedy Organ,0.023622,1.5,0.346457,500.5,0.000000,1.5
B65 Flute - Horn,0.165354,15.1,0.574803,2280.2,0.377953,649.3
B66 Toy Rhodes,0.000000,1.5,0.700787,4130.9,0.307087,349.0
B67 Surf's Up,0.259843,54.1,0.763780,5347.5,0.952756,10378.5
B68 OW Bass,1.000000,3000.0,0.000000,1.5,0.000000,1.5
B71 Piccolo,0.125984,7.5,0.811024,6402.2,0.165354,55.7
B72 Melodic Taps,0.000000,1.5,0.188976,82.5,0.188976,82.5
B73 Meow Bass,0.031496,1.6,0.708661,4271.6,0.212598,116.8
B74 Violin (high),0.338583,117.9,0.354331,535.3,0.204724,104.5
B75 High Bells,0.000000,1.5,0.173228,63.9,0.464567,1204.5
B76 Rolling Wah,0.267717,59.0,0.433071,976.1,0.826772,6782.4
B77 Ping Bell,0.000000,1.5,0.181102,72.8,0.448819,1086.3
B78 Brassy Organ,0.000000,1.5,0.283465,274.8,0.000000,1.5
B81 Low Dark Strings,0.653543,838.5,0.181102,72.8,0.330709,435.5
B82 Piccolo Trumpet,0.023622,1.5,0.346457,500.5,0.086614,9.3
B83 Cello,0.377953,163.4,0.511811,1610.1,0.267717,231.7
B84 High Strings,0.212598,30.3,0.448819,1086.3,0.322835,405.2
B85 Rocket Men,0.000000,1.5,1.000000,12000.0,0.700787,4130.9
B86 Forbidden Planet,0.000000,1.5,0.377953,649.3,0.330709,435.5
B87 Froggy,0.000000,1.5,0.000000,1.5,0.000000,1.5
B88 Owgan,0.000000,1.5,0.385827,690.6,0.000000,1.5
